State,FIPS,Name,Area,People2010
HI,15001,Hawaii County,4028.42,185079
HI,15003,Honolulu County,600.74,953207
HI,15005,Kalawao County,11.99,90
HI,15007,Kauai County,619.96,67091
HI,15009,Maui County,1161.52,154834
ID,16001,Ada County,1052.58,392365
ID,16003,Adams County,1363.06,3976
ID,16005,Bannock County,1111.99,82839
ID,16007,Bear Lake County,974.78,5986
ID,16009,Benewah County,776.62,9285
ID,16011,Bingham County,2093.98,45607
ID,16013,Blaine County,2643.59,21376
ID,16015,Boise County,1899.24,7028
ID,16017,Bonner County,1734.57,40877
ID,16019,Bonneville County,1866.08,104234
ID,16021,Boundary County,1268.56,10972
ID,16023,Butte County,2231.67,2891
ID,16025,Camas County,1074.49,1117
ID,16027,Canyon County,587.37,188923
ID,16029,Caribou County,1764.15,6963
ID,16031,Cassia County,2565.08,22952
ID,16033,Clark County,1764.19,982
ID,16035,Clearwater County,2457.27,8761
ID,16037,Custer County,4920.94,4368
ID,16039,Elmore County,3074.74,27038
ID,16041,Franklin County,663.64,12786
ID,16043,Fremont County,1863.53,13242
ID,16045,Gem County,560.90,16719
ID,16047,Gooding County,728.97,15464
ID,16049,Idaho County,8477.35,16267
ID,16051,Jefferson County,1093.50,26140
ID,16053,Jerome County,597.18,22374
ID,16055,Kootenai County,1244.12,138494
ID,16057,Latah County,1076.00,37244
ID,16059,Lemhi County,4563.39,7936
ID,16061,Lewis County,478.80,3821
ID,16063,Lincoln County,1201.41,5208
ID,16065,Madison County,469.21,37536
ID,16067,Minidoka County,757.59,20069
ID,16069,Nez Perce County,848.09,39265
ID,16071,Oneida County,1200.06,4286
ID,16073,Owyhee County,7665.51,11526
ID,16075,Payette County,406.87,22623
ID,16077,Power County,1404.24,7817
ID,16079,Shoshone County,2629.66,12765
ID,16081,Teton County,449.46,10170
ID,16083,Twin Falls County,1921.21,77230
ID,16085,Valley County,3664.52,9862
ID,16087,Washington County,1452.98,10198
IL,17001,Adams County,855.20,67103
IL,17003,Alexander County,235.51,8238
IL,17005,Bond County,380.28,17768
IL,17007,Boone County,280.72,54165
IL,17009,Brown County,305.61,6937
IL,17011,Bureau County,869.03,34978
IL,17013,Calhoun County,253.82,5089
