Data;Retorno;Volume
17/10/1963;0,004080046;1852500
18/10/1963;0,005079015;765000
21/10/1963;0,001515623;885000
22/10/1963;0,016195007;1732500
23/10/1963;0,006171645;847500
24/10/1963;0,004139981;532500
25/10/1963;0,017524969;780000
28/10/1963;0,007600503;1852500
29/10/1963;0,012067177;1335000
30/10/1963;0,014249801;750000
31/10/1963;0,020134877;712500
01/11/1963;0,011134624;645000
04/11/1963;0,008958442;540000
06/11/1963;0,008263352;982500
07/11/1963;0,003125559;450000
08/11/1963;0,006229682;525000
11/11/1963;0,005160883;405000
12/11/1963;0,002053108;877500
13/11/1963;0,003073031;652500
14/11/1963;0,005106241;645000
15/11/1963;0,004107508;442500
18/11/1963;0,009278714;427500
19/11/1963;0,017169095;645000
20/11/1963;0,000529808;930000
21/11/1963;0,016948859;915000
22/11/1963;0,002693431;802500
26/11/1963;0,012897254;1057500
27/11/1963;0,014322495;937500
29/11/1963;0,015168443;682500
02/12/1963;0,013909923;682500
03/12/1963;0,005081571;675000
04/12/1963;0,013278024;630000
05/12/1963;0,009315828;547500
06/12/1963;0,00615366;435000
09/12/1963;0,001032825;615000
10/12/1963;0,006197514;300000
11/12/1963;0,002078721;247500
12/12/1963;0,00989662;240000
13/12/1963;0;345000
16/12/1963;0,001578731;247500
17/12/1963;0,015756481;450000
18/12/1963;0;622500
19/12/1963;0,001033661;480000
20/12/1963;0,001034731;450000
23/12/1963;0,001033661;600000
24/12/1963;0,003104842;472500
26/12/1963;0,012384821;517500
27/12/1963;0,006115375;1080000
30/12/1963;0,01114433;1717500
31/12/1963;0,016032423;1740000
02/01/1964;0,01972368;1222500
03/01/1964;0,01353904;1050000
06/01/1964;0,002941086;705000
07/01/1964;0,006843229;592500
08/01/1964;0,00984243;682500
09/01/1964;0,030214335;1237500
10/01/1964;0,008515004;1125000
13/01/1964;0,005628937;1230000
14/01/1964;0,001865419;1035000
15/01/1964;0,048597998;1560000
16/01/1964;0,019607986;1935000
17/01/1964;0,005453807;1260000
20/01/1964;0,001808075;1252500
21/01/1964;0,018116344;2175000
22/01/1964;0,009226171;952500
23/01/1964;0,004570626;720000
24/01/1964;0,006369991;570000
27/01/1964;0,010989251;570000
28/01/1964;0,011111357;555000
29/01/1964;0,018726422;817500
30/01/1964;0,009542496;480000
31/01/1964;0,024573717;645000
03/02/1964;0,00184477;622500
04/02/1964;0,002542482;345000
05/02/1964;0,006486573;442500
06/02/1964;0;607500
07/02/1964;0,001864988;765000
10/02/1964;0,00558689;630000
11/02/1964;0,003703512;562500
12/02/1964;0,007380853;435000
13/02/1964;0,014651823;847500
14/02/1964;0,002708007;607500
17/02/1964;0,00450191;697500
18/02/1964;0,001809362;615000
19/02/1964;0;225000
20/02/1964;0,002708007;292500
24/02/1964;0,002249258;450000
25/02/1964;0,023799579;1027500
26/02/1964;0,009647515;945000
27/02/1964;0,015637235;607500
28/02/1964;0,004412833;652500
02/03/1964;0,007908753;405000
03/03/1964;0,000885694;382500
04/03/1964;0,010638304;517500
05/03/1964;0,008064661;375000
06/03/1964;0,009777828;555000
09/03/1964;0;667500
10/03/1964;0,000880236;315000
11/03/1964;0,011873563;607500
12/03/1964;0,016949634;667500
13/03/1964;0,005982054;1320000
16/03/1964;0,006796589;360000
17/03/1964;0,001711312;487500
18/03/1964;0,006427211;502500
19/03/1964;0,004311441;495000
20/03/1964;0,004764536;675000
23/03/1964;0,009574144;472500
24/03/1964;0,003448638;420000
25/03/1964;0,007732094;472500
26/03/1964;0,003409345;420000
30/03/1964;0,000849574;637500
31/03/1964;0,008913752;1042500
01/04/1964;0,001683235;720000
02/04/1964;0,004619929;570000
03/04/1964;0,000836076;922500
06/04/1964;0,002506134;735000
07/04/1964;0,014656634;1102500
08/04/1964;0,006375307;675000
09/04/1964;0,001282812;345000
10/04/1964;0,019650315;1320000
13/04/1964;0,010892289;645000
14/04/1964;0,00720076;352500
15/04/1964;0,003412792;397500
16/04/1964;0,002996688;472500
17/04/1964;0,005582853;397500
20/04/1964;0,005978553;285000
21/04/1964;0,013745524;435000
22/04/1964;0,00677984;420000
23/04/1964;0,016835193;525000
24/04/1964;0,001711701;540000
27/04/1964;0,00343089;502500
28/04/1964;0,004302159;480000
29/04/1964;0,011995414;630000
30/04/1964;0,010842618;382500
01/05/1964;0,016221498;405000
04/05/1964;0,007765453;367500
05/05/1964;0,001284449;255000
06/05/1964;0,001282801;247500
07/05/1964;0,001284449;292500
08/05/1964;0,002143321;285000
11/05/1964;0,000855387;367500
12/05/1964;0,004281137;225000
13/05/1964;0,001278437;487500
14/05/1964;0,004682867;300000
15/05/1964;0,005132324;232500
18/05/1964;0,00638238;558000
19/05/1964;0,010571611;696000
20/05/1964;0,015167166;1320000
21/05/1964;0,007728287;1104000
22/05/1964;0,004089766;936000
25/05/1964;0,015024674;546000
26/05/1964;0,003100779;810000
27/05/1964;0,011411319;690000
28/05/1964;0,007344948;444000
01/06/1964;0,014062309;444000
02/06/1964;0,004754293;438000
03/06/1964;0,011567318;534000
04/06/1964;0,017553495;612000
05/06/1964;0,004873248;552000
08/06/1964;0,006465973;252000
09/06/1964;0,01952307;630000
10/06/1964;0,006382895;378000
11/06/1964;0,004283495;384000
12/06/1964;0,007461331;270000
15/06/1964;0,007408199;282000
16/06/1964;0,006827287;312000
17/06/1964;0,005739456;750000
18/06/1964;0,009337008;444000
19/06/1964;0,004189302;222000
22/06/1964;0,002605622;276000
23/06/1964;0,004159938;222000
24/06/1964;0,005221513;336000
25/06/1964;0,000518081;468000
26/06/1964;0,006237962;276000
29/06/1964;0,001568491;276000
30/06/1964;0,000524529;294000
01/07/1964;0,008386863;372000
02/07/1964;0,006235872;528000
06/07/1964;0,008265566;402000
07/07/1964;0,006147453;546000
08/07/1964;0,004074115;306000
09/07/1964;0,002556032;270000
10/07/1964;0,010763565;498000
13/07/1964;0,002072684;528000
14/07/1964;0,019730613;1260000
15/07/1964;0,010593438;438000
16/07/1964;0,004193695;360000
17/07/1964;0;216000
20/07/1964;0,010438617;270000
21/07/1964;0,003692639;438000
22/07/1964;0,001588121;300000
23/07/1964;0,003181294;192000
24/07/1964;0,013297875;510000
27/07/1964;0,004851688;618000
28/07/1964;0,002166455;474000
29/07/1964;0,008957532;300000
30/07/1964;0,006726124;216000
31/07/1964;0,001083772;264000
03/08/1964;0,004870608;204000
04/08/1964;0,033450396;1134000
05/08/1964;0,015193764;1206000
06/08/1964;0,013859337;552000
07/08/1964;0,009556981;474000
10/08/1964;0;324000
11/08/1964;0,007794369;600000
12/08/1964;0,006733209;516000
13/08/1964;0,008919062;420000
14/08/1964;0,012155297;366000
17/08/1964;0,001118624;288000
18/08/1964;0,000558687;180000
19/08/1964;0,009491817;372000
20/08/1964;0,02142102;1044000
21/08/1964;0,011521318;618000
24/08/1964;0,008827033;306000
25/08/1964;0,015225404;672000
26/08/1964;0,001750379;732000
27/08/1964;0,005260344;600000
28/08/1964;0,018022982;426000
31/08/1964;0,006281864;546000
01/09/1964;0,001135131;408000
02/09/1964;0,002267687;258000
03/09/1964;0,005091321;510000
04/09/1964;0,00028167;354000
08/09/1964;0,00872517;324000
09/09/1964;0,011357177;450000
10/09/1964;0,020965138;1572000
11/09/1964;0,002053196;804000
14/09/1964;0,031157916;1032000
15/09/1964;0,01092165;960000
16/09/1964;0,024309433;696000
17/09/1964;0,017286831;738000
18/09/1964;0,019584503;774000
21/09/1964;0,002349702;336000
22/09/1964;0,002344194;426000
23/09/1964;0,010575727;342000
24/09/1964;0,004650809;282000
25/09/1964;0,0156252;846000
28/09/1964;0,007977033;270000
29/09/1964;0,005169699;246000
30/09/1964;0,002286402;210000
01/10/1964;0,004008789;168000
02/10/1964;0,004024924;378000
05/10/1964;0,006351353;336000
06/10/1964;0,012201646;312000
07/10/1964;0,001175937;336000
08/10/1964;0,007050288;324000
09/10/1964;0,005834597;438000
12/10/1964;0,006960319;198000
13/10/1964;0,016355947;420000
14/10/1964;0,00237661;378000
15/10/1964;0,008293053;528000
16/10/1964;0,01292602;420000
19/10/1964;0,006960319;294000
20/10/1964;0,008762114;516000
21/10/1964;0,000589305;252000
22/10/1964;0,003534337;354000
23/10/1964;0,003840316;216000
26/10/1964;0,015129488;426000
27/10/1964;0,003614032;492000
28/10/1964;0,006002702;276000
29/10/1964;0,00358073;258000
30/10/1964;0,001189716;300000
02/11/1964;0,006847672;588000
04/11/1964;0;366000
05/11/1964;0,004196206;276000
06/11/1964;0,000596268;426000
09/11/1964;0,001194447;378000
10/11/1964;0;270000
11/11/1964;0;318000
12/11/1964;0,001194221;420000
13/11/1964;0,016090178;600000
16/11/1964;0,013488747;438000
17/11/1964;0,002313661;324000
18/11/1964;0,023202507;444000
19/11/1964;0;612000
20/11/1964;0,011283447;270000
23/11/1964;0,006460535;288000
24/11/1964;0,00945571;528000
25/11/1964;0,004773287;720000
27/11/1964;0,001198744;726000
30/11/1964;0,009603873;504000
01/12/1964;0,012120644;852000
02/12/1964;0,001226689;438000
03/12/1964;0,011029138;456000
04/12/1964;0,010908823;294000
07/12/1964;0,001198744;330000
08/12/1964;0,020407929;288000
09/12/1964;0,002145615;534000
10/12/1964;0,00460587;330000
11/12/1964;0,010391697;438000
14/12/1964;0,005444512;318000
15/12/1964;0,000912488;222000
16/12/1964;0,000913321;222000
17/12/1964;0,004865584;258000
18/12/1964;0,004843241;414000
21/12/1964;0;390000
22/12/1964;0,002410251;366000
23/12/1964;0,007245796;300000
24/12/1964;0,006081827;204000
28/12/1964;0,001813944;306000
29/12/1964;0,005450503;552000
30/12/1964;0,001826587;396000
31/12/1964;0,004254877;498000
04/01/1965;0,010683873;510000
05/01/1965;0,002468383;498000
06/01/1965;0,011445063;972000
07/01/1965;0,022018413;582000
08/01/1965;0,017354777;732000
11/01/1965;0,006471346;342000
12/01/1965;0,002368869;450000
13/01/1965;0,001772156;402000
14/01/1965;0,00943399;966000
15/01/1965;0,015770634;576000
18/01/1965;0,012650702;840000
19/01/1965;0,008518061;900000
20/01/1965;0,000563489;522000
21/01/1965;0,001689723;528000
22/01/1965;0,008465182;456000
25/01/1965;0,002797854;294000
26/01/1965;0,00505038;516000
27/01/1965;0,011843658;528000
28/01/1965;0,001115111;324000
29/01/1965;0,001113869;384000
01/02/1965;0,006688427;522000
02/02/1965;0,001908059;264000
03/02/1965;0,005062859;210000
04/02/1965;0,014697499;312000
05/02/1965;0,007241466;252000
08/02/1965;0,010101864;342000
09/02/1965;0,012472341;354000
10/02/1965;0,015678445;342000
11/02/1965;0,001137563;348000
12/02/1965;0,001988902;258000
15/02/1965;0,01786174;420000
16/02/1965;0,006928996;354000
17/02/1965;0,005814646;774000
18/02/1965;0,025433752;534000
19/02/1965;0,00901842;696000
23/02/1965;0,001117227;240000
24/02/1965;0,003348501;672000
25/02/1965;0,011123116;618000
26/02/1965;0,002750879;456000
01/03/1965;0,001097553;348000
02/03/1965;0,001648139;300000
03/03/1965;0,005483105;246000
04/03/1965;0,010474063;384000
05/03/1965;0,007242026;324000
08/03/1965;0,004977747;318000
09/03/1965;0,013209167;456000
10/03/1965;0,007061618;270000
11/03/1965;0,005471111;432000
12/03/1965;0,010881041;342000
15/03/1965;0,005920128;306000
16/03/1965;0,00695529;306000
17/03/1965;0,002154995;162000
18/03/1965;0,003239474;216000
19/03/1965;0,003229013;156000
22/03/1965;0,001079825;252000
23/03/1965;0,004854782;276000
24/03/1965;0,004877921;330000
25/03/1965;0,006535411;300000
26/03/1965;0,015351261;696000
29/03/1965;0,012806581;270000
30/03/1965;0;294000
31/03/1965;0,001100519;252000
01/04/1965;0,003302983;204000
02/04/1965;0,003839784;378000
05/04/1965;0,004371774;342000
06/04/1965;0,00652939;252000
07/04/1965;0,00109465;276000
08/04/1965;0,004385603;216000
09/04/1965;0,026200912;522000
12/04/1965;0,001063208;378000
13/04/1965;0,005324372;342000
14/04/1965;0,001058703;546000
15/04/1965;0,001057583;342000
19/04/1965;0,01483035;330000
20/04/1965;0,00104428;552000
21/04/1965;0,004178861;234000
22/04/1965;0,006296441;216000
