Apolice;Inicio de vigência;Fim de vigência;Qtd_Sinistros;sin_liq_casco
8101;08/04/2021;08/04/2022;1;118017
8117;15/07/2021;15/07/2022;1;1000
8237;04/04/2021;04/04/2022;1;1000
8252;09/05/2021;09/05/2022;1;11540.54
8265;23/11/2021;23/11/2022;1;1000
8287;23/11/2021;23/11/2022;1;1000
8289;14/08/2021;14/08/2022;1;1000
8294;24/11/2021;24/11/2022;1;11890.53
8305;07/05/2021;07/05/2022;1;1000
8311;06/10/2021;06/10/2022;1;1000
8381;02/09/2021;02/09/2022;1;1808.17
8446;06/11/2021;06/11/2022;1;1804.94
8455;21/12/2021;21/12/2022;1;2072.62
8462;14/11/2021;14/11/2022;1;2084.86
8500;19/12/2021;19/12/2022;1;3290.61
8509;28/03/2021;28/03/2022;1;2225.4
8571;09/05/2021;09/05/2022;1;11540.54
8577;21/01/2021;21/01/2022;1;4038.65
8586;23/11/2021;23/11/2022;1;1000
8605;23/11/2021;23/11/2022;1;1000
8611;24/11/2021;24/11/2022;1;11890.53
8623;07/05/2021;07/05/2022;1;1000
8631;06/10/2021;06/10/2022;1;1000
8638;03/08/2021;03/08/2022;1;17048.53
8711;02/09/2021;02/09/2022;1;1808.17
8780;06/11/2021;06/11/2022;1;1804.94
8790;21/12/2021;21/12/2022;1;2072.62
8793;14/11/2021;14/11/2022;1;2084.86
8833;19/12/2021;19/12/2022;1;3290.61
8894;28/10/2021;28/10/2022;1;1000
8933;01/09/2021;01/09/2022;1;7341.65
8944;19/07/2021;19/07/2022;1;6802.41
8949;03/03/2021;03/03/2022;1;3627.94
8978;18/12/2021;18/12/2022;1;11560.79
8979;01/08/2021;01/08/2022;1;8348.49
9020;16/12/2021;16/12/2022;1;1276.99
9021;11/08/2021;11/08/2022;1;14340.31
9085;24/04/2021;24/04/2022;1;1000
9102;09/01/2021;09/01/2022;1;1000
9136;18/10/2021;18/10/2022;1;29025.42
9149;03/02/2021;03/02/2022;1;3592.3
9168;13/07/2021;13/07/2022;1;1000
9192;28/10/2021;28/10/2022;1;1000
9241;19/07/2021;19/07/2022;1;6802.41
9244;15/07/2021;15/07/2022;1;1000
9247;03/03/2021;03/03/2022;1;3627.94
9273;18/12/2021;18/12/2022;1;11560.79
9275;01/08/2021;01/08/2022;1;8348.49
9313;16/12/2021;16/12/2022;1;1276.99
9314;11/08/2021;11/08/2022;1;14340.31
9334;13/01/2021;13/01/2022;1;1312.97
9375;24/04/2021;24/04/2022;1;1000
9390;09/01/2021;09/01/2022;1;1000
9440;03/02/2021;03/02/2022;1;3592.3
9461;13/07/2021;13/07/2022;1;1000
9489;20/05/2021;20/05/2022;1;1000
9501;29/12/2021;29/12/2022;1;1000
9502;29/12/2021;29/12/2022;1;1000
9575;24/08/2021;24/08/2022;1;9690.19
9604;17/02/2021;17/02/2022;1;15871.09
9620;23/10/2021;23/10/2022;1;1449.64
9646;12/12/2021;12/12/2022;1;2426.33
9716;17/04/2021;17/04/2022;1;9198.01
9724;16/12/2021;16/12/2022;1;8043.38
9777;09/11/2021;09/11/2022;1;27435.57
9810;29/12/2021;29/12/2022;1;1000
9811;29/12/2021;29/12/2022;1;1000
9861;23/10/2021;23/10/2022;1;1000
9879;24/08/2021;24/08/2022;1;9690.19
9903;17/02/2021;17/02/2022;1;15871.09
9915;10/10/2021;10/10/2022;1;3740.02
9922;23/10/2021;23/10/2022;1;1449.64
9951;12/12/2021;12/12/2022;1;2426.33
10022;17/04/2021;17/04/2022;1;9198.01
10028;16/12/2021;16/12/2022;1;8043.38
10084;09/11/2021;09/11/2022;1;27435.57
10116;31/07/2021;31/07/2022;1;1000
10208;11/11/2021;11/11/2022;1;1149.38
10215;24/09/2021;24/09/2022;1;8523.64
10248;29/07/2021;29/07/2022;1;3248.8
10260;26/12/2021;26/12/2022;1;29564
10291;07/05/2021;07/05/2022;1;12416.97
10334;15/03/2021;15/03/2022;1;2609.19
10432;20/10/2021;20/10/2022;1;1000
10445;04/09/2021;04/09/2022;1;1000
10452;31/07/2021;31/07/2022;1;1000
10475;22/12/2021;22/12/2022;1;2680.02
10537;11/11/2021;11/11/2022;1;1149.38
10546;24/09/2021;24/09/2022;1;8523.64
10579;29/07/2021;29/07/2022;1;3248.8
10591;26/12/2021;26/12/2022;1;29564
10624;07/05/2021;07/05/2022;1;12416.97
10671;15/03/2021;15/03/2022;1;2609.19
10714;12/03/2021;12/03/2022;1;4451.6
10876;07/04/2021;07/04/2022;1;1597.18
10893;12/07/2021;12/07/2022;1;1000
10907;05/05/2021;05/05/2022;1;6671.12
10936;29/09/2021;29/09/2022;1;3938.46
10954;11/11/2021;11/11/2022;1;1000
10988;24/02/2021;24/02/2022;1;8036
11006;05/12/2021;05/12/2022;1;3260.72
11024;14/09/2021;14/09/2022;1;90702.96
11041;01/11/2021;01/11/2022;1;4058.93
11059;13/07/2021;13/07/2022;1;765193.05
11068;17/03/2021;17/03/2022;1;12649
11149;13/02/2021;13/02/2022;1;2287.54
11182;02/06/2021;02/06/2022;1;4778.88
11214;07/04/2021;07/04/2022;1;1597.18
11247;05/05/2021;05/05/2022;1;6671.12
11272;29/09/2021;29/09/2022;1;3938.46
11289;11/11/2021;11/11/2022;1;1000
11327;24/02/2021;24/02/2022;1;8036
11365;14/09/2021;14/09/2022;1;90702.96
11382;01/11/2021;01/11/2022;1;4058.93
11399;13/07/2021;13/07/2022;1;765193.05
11410;17/03/2021;17/03/2022;1;12649
11476;23/10/2021;23/10/2022;1;2983.11
11512;20/01/2021;20/01/2022;1;5236.32
11542;02/01/2021;02/01/2022;1;2306.99
11544;12/01/2021;12/01/2022;1;4271.35
11575;20/12/2021;20/12/2022;1;9802
11611;25/03/2021;25/03/2022;1;4717.96
11616;08/04/2021;08/04/2022;1;15679.44
11627;07/11/2021;07/11/2022;1;4999.79
11686;04/11/2021;04/11/2022;1;5151.33
11693;05/11/2021;05/11/2022;1;2032.18
11709;03/07/2021;03/07/2022;1;1000
11742;04/09/2021;04/09/2022;1;4310.2
11795;23/10/2021;23/10/2022;1;2983.11
11833;20/01/2021;20/01/2022;1;5236.32
11858;26/10/2021;26/10/2022;1;2059.53
11868;02/01/2021;02/01/2022;1;2306.99
11898;20/12/2021;20/12/2022;1;9802
11939;25/03/2021;25/03/2022;1;4717.96
11943;15/05/2021;15/05/2022;1;6573.95
11946;08/04/2021;08/04/2022;1;15679.44
11956;07/11/2021;07/11/2022;1;4999.79
12014;04/11/2021;04/11/2022;1;5151.33
12023;22/01/2021;22/01/2022;1;14351.25
12075;04/09/2021;04/09/2022;1;4310.2
12227;04/08/2021;04/08/2022;1;5984.23
12268;20/07/2021;20/07/2022;1;1855.94
12306;29/05/2021;29/05/2022;1;5052.79
12307;29/05/2021;29/05/2022;1;2311.74
12338;04/02/2021;04/02/2022;1;8752.97
12357;12/06/2021;12/06/2022;1;3321.04
12372;09/01/2021;09/01/2022;1;15481
12374;18/11/2021;18/11/2022;1;3702.17
12408;05/01/2021;05/01/2022;1;13551.14
12418;28/05/2021;28/05/2022;1;3060.21
12425;15/12/2021;15/12/2022;1;2974.56
12580;04/08/2021;04/08/2022;1;5984.23
12591;16/11/2021;16/11/2022;1;17934.88
12625;20/03/2021;20/03/2022;1;1855.94
12664;29/05/2021;29/05/2022;1;5052.79
12665;29/05/2021;29/05/2022;1;2311.74
12697;04/02/2021;04/02/2022;1;8752.97
12718;12/06/2021;12/06/2022;1;3321.04
12723;02/01/2021;02/01/2022;1;3302.37
12734;09/01/2021;09/01/2022;1;15481
12737;18/11/2021;18/11/2022;1;3702.17
12772;07/01/2021;07/01/2022;1;13551.14
12783;28/05/2021;28/05/2022;1;3060.21
12792;10/02/2021;10/02/2022;1;2974.56
12847;31/03/2021;31/03/2022;1;2108.03
12933;20/02/2021;20/02/2022;1;1000
12940;29/03/2021;29/03/2022;1;9369.12
12947;05/11/2021;05/11/2022;1;1000
12998;31/07/2021;31/07/2022;1;3943.66
13010;07/03/2021;07/03/2022;1;5367.85
13028;06/02/2021;06/02/2022;1;2807.98
13045;07/02/2021;07/02/2022;1;2316.79
13060;29/09/2021;29/09/2022;1;1799.48
13061;01/03/2021;01/03/2022;1;8068.86
13117;03/02/2021;03/02/2022;1;1000
13214;31/03/2021;31/03/2022;1;2108.03
13294;12/02/2021;12/02/2022;1;1000
13310;05/11/2021;05/11/2022;1;1000
13352;31/07/2021;31/07/2022;1;3943.66
13368;07/05/2021;07/05/2022;1;5367.85
13386;06/02/2021;06/02/2022;1;2807.98
13421;25/04/2021;25/04/2022;1;1799.48
13422;01/03/2021;01/03/2022;1;8068.86
13443;02/05/2021;02/05/2022;1;9891.48
13468;14/12/2021;14/12/2022;1;1000
13478;03/02/2021;03/02/2022;1;1000
13514;10/05/2021;10/05/2022;1;2532.68
13597;20/12/2021;20/12/2022;1;2602.58
13741;03/03/2021;03/03/2022;1;636726.33
13742;20/10/2021;20/10/2022;1;1000
13755;10/11/2021;10/11/2022;1;117337.2
13765;25/09/2021;25/09/2022;1;1000
13798;01/03/2021;01/03/2022;1;10162.32
13831;06/09/2021;06/09/2022;1;1000
13840;19/02/2021;19/02/2022;1;1000
13902;26/08/2021;26/08/2022;1;9665.07
13906;08/01/2021;08/01/2022;1;1873.66
13926;09/04/2021;09/04/2022;1;1000
14040;15/12/2021;15/12/2022;1;3095.17
14100;03/03/2021;03/03/2022;1;636726.33
14102;20/10/2021;20/10/2022;1;1000
14127;25/09/2021;25/09/2022;1;1000
14187;06/09/2021;06/09/2022;1;1000
14197;19/02/2021;19/02/2022;1;1000
14198;19/02/2021;19/02/2022;1;1000
14231;03/12/2021;03/12/2022;1;6611.99
14261;26/08/2021;26/08/2022;1;9665.07
14264;08/01/2021;08/01/2022;1;1873.66
14284;28/05/2021;28/05/2022;1;6042.23
14325;27/03/2021;27/03/2022;1;2815.02
14367;24/10/2021;24/10/2022;1;7068
